Musescore,Unnamed: 1,Melodi,Komponist,Levde når,Lyrikk,Unnamed: 6,Når komponert,(Ferdigskrevet),Begynt på
,No 1,Tonen,"Lasson, Per",1859 - 1883,Bjørnstjerne Bjørnson,1832 - 1910,,x,
,No 2,Und liebst du mich?,"Lasson, Per",1859 - 1883,Karl Beck,1817 - 1879,,x,
,No 3,Lokkeleg,"Lasson, Per",1859 - 1883,Bjørnstjerne Bjørnson,1832 - 1910,,x,
,No 4,Lied,"Lasson, Per",1859 - 1883,Emanuel Geibel,1815 - 1884,,x,
,No 5,Dulgt Kjærlighed,"Lasson, Per",1859 - 1883,Bjørnstjerne Bjørnson,1832 - 1910,,,x
,No 6,Godnat!,"Lasson, Per",1859 - 1883,Henrik Wergeland,1808 - 1845,,x,
,No 7,Over de höje Fjelde,"Lasson, Per",1859 - 1883,Bjørnstjerne Bjørnson,1832 - 1910,,x,
,No 8,Wunsch,"Lasson, Per",1859 - 1883,Robert Reinick,1805 - 1852,,,x
,No 9,"O, vidste du bare!","Lasson, Per",1859 - 1883,Bjørnstjerne Bjørnson,1832 - 1910,,x,
,No 10,Træet,"Lasson, Per",1859 - 1883,Bjørnstjerne Bjørnson,1832 - 1910,,x,
,No 11,Paa Fjellet,"Lasson, Per",1859 - 1883,Kristofer Janson,1841 - 1917,,,Tekst gjenstår
,No 12,Grüss,"Lasson, Per",1859 - 1883,Heinrich Heine,1797 - 1856,,x,
,No 13,Hör ich das Liedchen klingen,"Lasson, Per",1859 - 1883,Heinrich Heine,1797 - 1856,,x,
,No 14,Sehnsucht,"Lasson, Per",1859 - 1883,Ludwig Ganghofer,1855 - 1920,,,x
,No 15,Erinnerung,"Lasson, Per",1859 - 1883,Ludwig Ganghofer,1855 - 1920,,x,
