Unnamed_1,Tittel,Toneart,Unnamed_4,Unnamed_5,Antall_sider,Unnamed_7,Komponist,Komponist_link,Unnamed_9,Unnamed_10,Tekstforfatter,Tekstforfatter_link,Unnamed_12
A,April love,G,,1,1,,,,,,,,
,Around the World,C,,2,1,,,,,,,,
,"Arrivederci, Roma",D,,3,1,,Renato Rascel,,(1912 - 1991),,,,
,As time goes by,"Eb (og ""C"")",,4,1,,,,,,,,
B,Blåklokkevikua,C,,5,1,,,,,,,,
,Bare  Sol,F,,6,2,,Alf Peaters,,1901 - 1951,,,,
,Blåklokker,G,,8,1,,Kristian Hauger,https://no.wikipedia.org/wiki/Kristian_Hauger,(1905 - 1977),,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,(1904 - 1958)
,Blåveispiken,G,,9,1,,,,,,,,
C,Cheek to Cheek,Bb,,10,1,,Irving Berlin,,(1888 - 1889),,,,
,Come back to Sorrento,Am,,11,1,,Ernesto De Curtis,,(1875 - 1937),,,,
D,Da ska' bli andre boller,D,,12,1,,,,,,,,
,"Daisy, Daisy",G,,13,1,,,,,,,,
,Dar kjem Dampen,Dm,,14,1,,,,,,,,
,De nære ting,F,,15,1,,,,,,,,
,Det var på Capri,C,,16,1,,,,,,,,
,Du ska få en dag i mårå,D/Em,,17,2,,,,,,,,
E,Early one morning,D,,19,1,,,,,,,,
,Eg veit ei lita jente,C,,21,1,,,,,,,,
,En liten blåveis,C,,20,1,,Hermann Hermani,https://no.wikipedia.org/wiki/Herman_Hermani,1898 - 1960,,,,
,En sjöman älskar havets våg,D,,22,1,,,,,,,,
,Eventyrvisa,D,,23,1,,,,,,,,
F,Fanaraaken,C,,24,1,,Bjørn Helge Pedersen,,,,,,
,Festen er over,C/Cm,,25,1,,,,,,,,
,Fjellsangen,F,,26,1,,,,,,,,
,Fritiof i Arkadien,F,,27,1,,,,,,,,
G,Gangdøra,F,,28,1,,,,,,,,
,"Gje meg handa di, ven",C,,29,1,,,,,,,,
H,Hele uken alene,G,,30,1,,,,,,,,
,Hildringstimen,C,,31,1,,,,,,,,
,Hva var vel livet uten deg,Bb,,32,1,,,,,,,,
,Håvard Hedde,Cm,,33,1,,,,,,,,
I,It's almost tomorrow,G,,34,1,,,,,,,,
,"It's been a long, long time",D,,35,1,Slow,Jule Styne,,(1905 - 1994),,,,
J,Jamaica Farewell,C,,36,1,,,,,,,,
,Jeg blir så glad,Bb,,37,1,,,,,,,,
,Jeg plukker fløjlsgræs,Cm,,38,1,,,,,,,,
K,Krøllane,G,,39,1,,,,,,,,
L,Lili Marlene,C,,40,1,,,,,,,,
M,Marina,G,,41,1,,,,,,,,
,Menuett i mai,A,,42,1,,,,,,,,
,Min älskling du er som en ros,G,,43,1,,,,,,,,
,Minnenes melodi,Dm/D,,44,1,,,,,,,,
,Molly Malone,C,,45,1,,,,,,,,
,Morgensang,G,,46,2,,,,,,,,
,Moulin Rouge,Eb,,48,1,,,,,,,,
N,No kjem ein vals,D/A,,49,1,,,,,,,,
,Nordaførr,A,,50,1,,,,,,,,
,Ny vise om gamle gleder,D,,51,1,,,,,,,,
,Nystemten,G,,52,1,,,,,,,,
O,Oldefar,D,,53,1,,,,,,,,
,Oxdragarsong,D,,54,1,,,,,,,,
P,Patriot-Paula,D,,55,1,,,,,,,,
,Pierina,D,,56,1,,,,,,,,
,På folkemunne,A,,57,1,,,,,,,,
R,Roser fra Athen,F,,58,1,,,,,,,,
S,Sangen til bygda,C,,,,,Anne Marie Kvien,,1947 -,,,,
,Smile,F,,59,1,,Charlie Chaplin,,(1889 - 1977),,,,
,Solskinn og sang,G,,60,1,,,,,,,,
,Sommerfuggel i vinterland,D,,61,1,,,,,,,,
,Sommernatt i Froland,G,,62,1,,,,,,,,
,Skomvær-valsen,F,,63,2,,,,,,,,
,Songen fra vest,G,,65,1,,,,,,,,
,Striladans,F,,66,1,,,,,,,,
,Strilevise,Am,,67,1,,,,,,,,
,Sønnavindsvalsen,F,,68,1,,,,,,,,
T,The last rose of summer,,,69,1,,,,,,,,
U,Ungkarsvalsen,Bb,,70,1,,,,,,,,
V,Vandringsmenn,G,,71,1,,,,,,,,
,Vandringsvise,D,,72,1,,,,,,,,
,"Vestland, Vestland",F,,73,1,,,,,,,,
,Vi vandrer med freidig mot,Bb,,74,1,,,,,,,,
,Vårvise i naustet,A,,75,1,,,,,,,,
W,Waltzing Mathilda,D,,76,1,,,,,,,,
,Whiskey in the Jar,A,,77,1,,,,,,,,
,Wild Rover,D,,78,1,,,,,,,,
Æ,Æille så ner som a Ingebjørg,G,,79,1,,,,,,,,
Å,"Å Marie, jeg vil hjem",G,,,1,,,,,,,,
