Unnamed_1,Unnamed_2,Unnamed_3,Unnamed_3_link,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_6_link,Unnamed_7,Unnamed_8,Unnamed_9,Unnamed_10,Unnamed_11,Unnamed_12,Unnamed_13,Unnamed_14,Unnamed_15,Unnamed_16,IMSPL,Musescore,PDF
,,,,,,,,,,,,,,,,,,,,
,x,Am Strande,https://musescore.com/user/26911315/scores/5876060,"Posca, George",1848 -  < 1933,,,,1882,Op 8. No. 2,,,,Anton J. Benjamin,,,,,,
,x,In der Fremde,https://musescore.com/user/26911315/scores/5939642,"Posca, George",1848 -  < 1933,Heinrich Heine,https://no.wikipedia.org/wiki/Heinrich_Heine,1797 - 1856,1884,Op. 12 No. 2,,Ikke egne noter.,,,,,,,,
,x,In the Twilight,https://musescore.com/user/26911315/scores/5900956,"Posca, George",1848 -  < 1933,,,,<1916,,,Ikke egne noter.,,,,,,,,
,x,Je länger je lieber,https://musescore.com/user/26911315/scores/5939647,"Posca, George",1848 -  < 1933,Julius Wolff,,1834 - 1910,1884,Op. 12 No. 3,,Ikke egne noter.,,,,,,,,
,x,Liebesgluck,https://musescore.com/user/26911315/scores/5939629,"Posca, George",1848 -  < 1933,Clarissa Lohde,http://www.deutsche-liebeslyrik.de/lohde.htm,1836 - 1915,1884,Op. 12 No. 1,,Ikke egne noter.,,,,,,,,
,x,Nocturno,https://musescore.com/user/26911315/scores/7096012,"Posca, George",1848 -  < 1933,,,,1881,Op.6 No.1,,Ikke egne noter.,,"Jean Haring, Hamburg",834,,Fräulein Agathe Lange,,,
,x,Impromptu,https://musescore.com/user/26911315/scores/7102483,"Posca, George",1848 -  < 1933,,,,1881,Op.6 No.2,,Ikke egne noter.,,"Jean Haring, Hamburg",835,,Fräulein Agathe Lange,,,
,x,"O leuchtende Erde, o strahlendes Licht",https://musescore.com/user/26911315/scores/5941040,"Posca, George",1848 -  < 1933,Ernst Scherenberg,https://de.wikipedia.org/wiki/Ernst_Scherenberg,1839 - 1905,1884,Op. 12 No. 6,,Ikke egne noter.,,,,,,,,
,x,Um Mittenacht,https://musescore.com/user/26911315/scores/5946967,"Posca, George",1848 -  < 1933,Julius Rodenberg,https://en.wikipedia.org/wiki/Julius_Rodenberg,1831 - 1914,1884,Op. 12 No. 4,,Ikke egne noter.,,,,,,,,
,x,"Verfehlte Liebe, verfehltes Leben",https://musescore.com/user/26911315/scores/5939661,"Posca, George",1848 -  < 1933,Heinrich Heine,https://no.wikipedia.org/wiki/Heinrich_Heine,1797 - 1856,1884,Op. 12 No. 5,,Ikke egne noter.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,x,Erste Romanze,https://musescore.com/user/26911315/scores/8643255,"Posca, George",1848 -  < 1933,,,,1885,Op. 13 No. 1,,Ikke egne noter.,,"Jean Haring, Hamburg",966,,Frau Anna Sieben,,,
,,Zweite Romanze,,"Posca, George",1848 -  < 1933,,,,1885,Op. 13 No. 2,,Ikke egne noter.,,"Jean Haring, Hamburg",967,,Fräulein Lieschen Neumann,,,
,,Dritte Romance,,"Posca, George",1848 -  < 1933,,,,1885,Op. 13 No. 3,,Ikke egne noter.,,"Jean Haring, Hamburg",968,,Frau Josefa Becker,,,
1,x,Menuett,https://musescore.com/user/26911315/scores/7115986,"Posca, George",1848 -  < 1933,,,,1886,Op. 17 No. 1,,Ikke egne noter.,,"Carl Paez, Berlin",219,,Fräulein Henriqueta Breuer,,,
,,Mazurka,,"Posca, George",1848 -  < 1933,,,,1886,Op. 17 No. 2,,Ikke egne noter.,,"Carl Paez, Berlin",220,,Fräulein Henriqueta Breuer,,,
,,Waltzer Caprice,https://musescore.com/user/26911315/scores/7259628,"Posca, George",1848 -  < 1933,,,,1887,Op. 18,,Ikke egne noter.,,"Jean Haring, Hamburg",1005,,Mary M. Bergmann,,,
4,,Flammende Liebe,https://musescore.com/user/26911315/scores/22479577,"Posca, George",1848 -  < 1933,,,,1897,Op. 26 No. 3,,Egne Noter !!,,"Johan Meyer, Hamburg",65,,,,,
,,Das gelbe Laub erzittert,,"Posca, George",1848 -  < 1933,Heinrich Heine,https://no.wikipedia.org/wiki/Heinrich_Heine,1797 - 1856,1897,Op. 27 No. 1,,Egne Noter !!,,"Johan Meyer, Hamburg",66,,,,,
